Source,Country,Code,Year,Sex,Age,Deaths,Population
direct,Brazil,BRA,2015,t,48,10720.8159878499,2573718.5
direct,Brazil,BRA,2015,t,49,11565.006305045226,2550350
direct,Brazil,BRA,2015,t,50,12480.381316445855,2521519.5
direct,Brazil,BRA,2015,t,51,13459.922812763947,2483208.5
direct,Brazil,BRA,2015,t,52,13715.586151106952,2426841.5
direct,Brazil,BRA,2015,t,53,14094.569452650698,2357766
direct,Brazil,BRA,2015,t,54,14746.260315093645,2280288.5
direct,Brazil,BRA,2015,t,55,15366.870536404698,2197887
direct,Brazil,BRA,2015,t,56,16188.00102308281,2114619.5
direct,Brazil,BRA,2015,t,57,17060.264177429526,2030060
direct,Brazil,BRA,2015,t,58,17389.1174126315,1945467.5
direct,Brazil,BRA,2015,t,59,18226.289520538983,1861924
direct,Brazil,BRA,2015,t,60,18996.287339548497,1780225.5
direct,Brazil,BRA,2015,t,61,19291.052129638072,1699640.5
direct,Brazil,BRA,2015,t,62,19796.363198363066,1622280.5
direct,Brazil,BRA,2015,t,63,20112.18261631619,1549615.5
direct,Brazil,BRA,2015,t,64,20653.587332807252,1477242
direct,Brazil,BRA,2015,t,65,21747.425380384568,1402865.5
direct,Brazil,BRA,2015,t,66,21669.222476891417,1301855
direct,Brazil,BRA,2015,t,67,22743.008497932024,1192431
direct,Brazil,BRA,2015,t,68,22567.553265735845,1105003.5
direct,Brazil,BRA,2015,t,69,22588.607893599383,1033224
direct,Brazil,BRA,2015,t,70,22758.047517834555,977747
direct,Brazil,BRA,2015,t,71,24078.47346527665,926974
direct,Brazil,BRA,2015,t,72,24355.191431483196,877178.5
direct,Brazil,BRA,2015,t,73,24151.663362135627,828265
direct,Brazil,BRA,2015,t,74,24677.026457397325,776323
direct,Brazil,BRA,2015,t,75,27450.221727423777,725304
direct,Brazil,BRA,2015,t,76,26907.814409605875,673278
direct,Brazil,BRA,2015,t,77,26619.065227477306,617079
direct,Brazil,BRA,2015,t,78,27317.878352281514,561575
direct,Brazil,BRA,2015,t,79,28531.02595775223,506629.5
direct,Brazil,BRA,2015,t,80,27552.487062760974,454358.5
direct,Brazil,BRA,2015,t,81,25985.421188917397,405887
direct,Brazil,BRA,2015,t,82,26577.95857307706,357831.5
direct,Brazil,BRA,2015,t,83,26918.843024201065,309723
direct,Brazil,BRA,2015,t,84,27028.126568826112,262788.5
direct,Brazil,BRA,2015,t,85,27237.67024613469,219075
direct,Brazil,BRA,2015,t,86,24944.72101166235,178984
direct,Brazil,BRA,2015,t,87,23793.734688455424,142216
direct,Brazil,BRA,2015,t,88,22860.312853171752,109696
direct,Brazil,BRA,2015,t,89,20410.95781171311,82525
direct,Brazil,BRA,2015,t,90,18460.898231018444,60844.5
direct,Brazil,BRA,2015,t,91,16112.805923570162,43807
direct,Brazil,BRA,2015,t,92,14224.907625139287,30682
direct,Brazil,BRA,2015,t,93,11804.628022158862,20976
direct,Brazil,BRA,2015,t,94,9855.571042791033,14044
direct,Brazil,BRA,2015,t,95,8577.254351076022,9158
direct,Brazil,BRA,2015,t,96,6825.7098330947465,5792
direct,Brazil,BRA,2015,t,97,5595.518005067829,3579.5
direct,Brazil,BRA,2015,t,98,4362.318373060406,2166
direct,Brazil,BRA,2015,t,99,3380.7716740886435,1273.5
direct,Brazil,BRA,2015,t,100,9061.510791937471,1542
direct,Brazil,BRA,2016,f,0,16066.132491544364,1433828.5
direct,Brazil,BRA,2016,f,1,1405.337223360326,1454237
direct,Brazil,BRA,2016,f,2,662.9856584193119,1439118.5
direct,Brazil,BRA,2016,f,3,431.35113578894726,1434721
direct,Brazil,BRA,2016,f,4,352.26712099296253,1450787.5
