Source,Country,Code,Year,Sex,Age,Deaths
eurs,Albania,ALB,2020,t,30,137
eurs,Albania,ALB,2020,t,35,187
eurs,Albania,ALB,2020,t,40,251.99999999999997
eurs,Albania,ALB,2020,t,45,397
eurs,Albania,ALB,2020,t,50,670
eurs,Albania,ALB,2020,t,55,1249
eurs,Albania,ALB,2020,t,60,1852
eurs,Albania,ALB,2020,t,65,2354
eurs,Albania,ALB,2020,t,70,3030
eurs,Albania,ALB,2020,t,75,4564
eurs,Albania,ALB,2020,t,80,5731
eurs,Albania,ALB,2020,t,85,4352
eurs,Albania,ALB,2020,t,90,2687
unpd,American Samoa,ASM,2015,f,0,4
unpd,American Samoa,ASM,2015,f,1,0
unpd,American Samoa,ASM,2015,f,10,1
unpd,American Samoa,ASM,2015,f,15,2
unpd,American Samoa,ASM,2015,f,20,1
unpd,American Samoa,ASM,2015,f,25,2
unpd,American Samoa,ASM,2015,f,30,0
unpd,American Samoa,ASM,2015,f,35,7
unpd,American Samoa,ASM,2015,f,40,8
unpd,American Samoa,ASM,2015,f,45,13.000000000000002
unpd,American Samoa,ASM,2015,f,50,10
unpd,American Samoa,ASM,2015,f,55,7.000000000000001
unpd,American Samoa,ASM,2015,f,60,16
unpd,American Samoa,ASM,2015,f,65,15.000000000000002
unpd,American Samoa,ASM,2015,f,70,9
unpd,American Samoa,ASM,2015,f,75,10.999999999999998
unpd,American Samoa,ASM,2015,f,80,15.999999999999998
unpd,American Samoa,ASM,2015,f,85,22
unpd,American Samoa,ASM,2015,m,0,6
unpd,American Samoa,ASM,2015,m,1,3
unpd,American Samoa,ASM,2015,m,10,0
unpd,American Samoa,ASM,2015,m,15,0
unpd,American Samoa,ASM,2015,m,20,3
unpd,American Samoa,ASM,2015,m,25,3
unpd,American Samoa,ASM,2015,m,30,6.000000000000001
unpd,American Samoa,ASM,2015,m,35,3
unpd,American Samoa,ASM,2015,m,40,5
unpd,American Samoa,ASM,2015,m,45,14.000000000000002
unpd,American Samoa,ASM,2015,m,50,18
unpd,American Samoa,ASM,2015,m,55,20
unpd,American Samoa,ASM,2015,m,60,18
unpd,American Samoa,ASM,2015,m,65,12.000000000000002
unpd,American Samoa,ASM,2015,m,70,16
unpd,American Samoa,ASM,2015,m,75,18.999999999999996
unpd,American Samoa,ASM,2015,m,80,13.999999999999998
unpd,American Samoa,ASM,2015,m,85,7
unpd,American Samoa,ASM,2015,t,0,10
unpd,American Samoa,ASM,2015,t,1,3
unpd,American Samoa,ASM,2015,t,10,1
unpd,American Samoa,ASM,2015,t,15,2
unpd,American Samoa,ASM,2015,t,20,4
unpd,American Samoa,ASM,2015,t,25,5
unpd,American Samoa,ASM,2015,t,30,6.000000000000001
unpd,American Samoa,ASM,2015,t,35,10
unpd,American Samoa,ASM,2015,t,40,13
unpd,American Samoa,ASM,2015,t,45,27.000000000000004
unpd,American Samoa,ASM,2015,t,50,28
unpd,American Samoa,ASM,2015,t,55,27.000000000000004
unpd,American Samoa,ASM,2015,t,60,34
unpd,American Samoa,ASM,2015,t,65,27.000000000000004
unpd,American Samoa,ASM,2015,t,70,25
unpd,American Samoa,ASM,2015,t,75,29.999999999999996
unpd,American Samoa,ASM,2015,t,80,29.999999999999996
unpd,American Samoa,ASM,2015,t,85,29
unpd,American Samoa,ASM,2016,f,0,6
unpd,American Samoa,ASM,2016,f,1,0
unpd,American Samoa,ASM,2016,f,15,0
unpd,American Samoa,ASM,2016,f,20,0
unpd,American Samoa,ASM,2016,f,25,1
unpd,American Samoa,ASM,2016,f,30,3
unpd,American Samoa,ASM,2016,f,35,5
unpd,American Samoa,ASM,2016,f,40,1
unpd,American Samoa,ASM,2016,f,45,10
unpd,American Samoa,ASM,2016,f,50,11
unpd,American Samoa,ASM,2016,f,55,10
unpd,American Samoa,ASM,2016,f,60,10
unpd,American Samoa,ASM,2016,f,65,12
unpd,American Samoa,ASM,2016,f,70,15
unpd,American Samoa,ASM,2016,f,75,13
unpd,American Samoa,ASM,2016,f,80,13
unpd,American Samoa,ASM,2016,f,85,16
unpd,American Samoa,ASM,2016,m,0,8
unpd,American Samoa,ASM,2016,m,1,1
unpd,American Samoa,ASM,2016,m,15,2
unpd,American Samoa,ASM,2016,m,20,2
unpd,American Samoa,ASM,2016,m,25,2
unpd,American Samoa,ASM,2016,m,30,3
unpd,American Samoa,ASM,2016,m,35,6
unpd,American Samoa,ASM,2016,m,40,5
unpd,American Samoa,ASM,2016,m,45,11
unpd,American Samoa,ASM,2016,m,50,14.000000000000002
unpd,American Samoa,ASM,2016,m,55,17
unpd,American Samoa,ASM,2016,m,60,17
unpd,American Samoa,ASM,2016,m,65,18
unpd,American Samoa,ASM,2016,m,70,17
unpd,American Samoa,ASM,2016,m,75,14
unpd,American Samoa,ASM,2016,m,80,6
unpd,American Samoa,ASM,2016,m,85,11
unpd,American Samoa,ASM,2016,t,0,14
unpd,American Samoa,ASM,2016,t,1,1
unpd,American Samoa,ASM,2016,t,15,2
unpd,American Samoa,ASM,2016,t,20,2
unpd,American Samoa,ASM,2016,t,25,3
unpd,American Samoa,ASM,2016,t,30,6
unpd,American Samoa,ASM,2016,t,35,11
unpd,American Samoa,ASM,2016,t,40,6
unpd,American Samoa,ASM,2016,t,45,21
unpd,American Samoa,ASM,2016,t,50,25
unpd,American Samoa,ASM,2016,t,55,27
unpd,American Samoa,ASM,2016,t,60,27
unpd,American Samoa,ASM,2016,t,65,30
unpd,American Samoa,ASM,2016,t,70,32
unpd,American Samoa,ASM,2016,t,75,27
unpd,American Samoa,ASM,2016,t,80,19
unpd,American Samoa,ASM,2016,t,85,27
unpd,American Samoa,ASM,2017,f,0,6.999999999999999
unpd,American Samoa,ASM,2017,f,1,1
unpd,American Samoa,ASM,2017,f,10,0
unpd,American Samoa,ASM,2017,f,15,0
unpd,American Samoa,ASM,2017,f,20,0
unpd,American Samoa,ASM,2017,f,25,1
unpd,American Samoa,ASM,2017,f,30,1
unpd,American Samoa,ASM,2017,f,35,4
unpd,American Samoa,ASM,2017,f,40,5
unpd,American Samoa,ASM,2017,f,45,4
unpd,American Samoa,ASM,2017,f,50,13
unpd,American Samoa,ASM,2017,f,55,6
unpd,American Samoa,ASM,2017,f,60,12
unpd,American Samoa,ASM,2017,f,65,16
unpd,American Samoa,ASM,2017,f,70,15
unpd,American Samoa,ASM,2017,f,75,14
unpd,American Samoa,ASM,2017,f,80,12
unpd,American Samoa,ASM,2017,f,85,21
unpd,American Samoa,ASM,2017,m,0,4.999999999999999
unpd,American Samoa,ASM,2017,m,1,2
unpd,American Samoa,ASM,2017,m,10,1
unpd,American Samoa,ASM,2017,m,15,2.9999999999999996
unpd,American Samoa,ASM,2017,m,20,5.999999999999999
unpd,American Samoa,ASM,2017,m,25,3
unpd,American Samoa,ASM,2017,m,30,4
unpd,American Samoa,ASM,2017,m,35,3
unpd,American Samoa,ASM,2017,m,40,3
unpd,American Samoa,ASM,2017,m,45,15
unpd,American Samoa,ASM,2017,m,50,12
unpd,American Samoa,ASM,2017,m,55,15
unpd,American Samoa,ASM,2017,m,60,19
unpd,American Samoa,ASM,2017,m,65,18
unpd,American Samoa,ASM,2017,m,70,21
unpd,American Samoa,ASM,2017,m,75,23
unpd,American Samoa,ASM,2017,m,80,11
