Year,Age,Deaths,Sex,Source,Country,Code,age_spn
2016,6,488.0256677493979,t,direct,USA,USA,1
2016,7,511.02591760285804,t,direct,USA,USA,1
2016,8,483.0257955533998,t,direct,USA,USA,1
2016,9,462.02343181194556,t,direct,USA,USA,1
2016,10,465.0247461137791,t,direct,USA,USA,1
2016,11,506.02608492345735,t,direct,USA,USA,1
2016,12,534.0282618359895,t,direct,USA,USA,1
2016,13,645.0344896946318,t,direct,USA,USA,1
2016,14,863.0457989306349,t,direct,USA,USA,1
2016,15,1170.065289347123,t,direct,USA,USA,1
2016,16,1580.0894259584459,t,direct,USA,USA,1
2016,17,2055.118144740162,t,direct,USA,USA,1
2016,18,2816.164424879485,t,direct,USA,USA,1
2016,19,3191.1892980524303,t,direct,USA,USA,1
2016,20,3503.2070800010138,t,direct,USA,USA,1
2016,21,4182.248943790688,t,direct,USA,USA,1
2016,22,4382.259835852631,t,direct,USA,USA,1
2016,23,4722.279794713746,t,direct,USA,USA,1
2016,24,4974.296186082131,t,direct,USA,USA,1
2016,25,5303.312893328228,t,direct,USA,USA,1
2016,26,5274.307051126282,t,direct,USA,USA,1
2016,27,5463.317773867817,t,direct,USA,USA,1
2016,28,5594.325742956514,t,direct,USA,USA,1
2016,29,5419.312710243854,t,direct,USA,USA,1
2016,30,5685.325685176382,t,direct,USA,USA,1
2016,31,5918.3346351705,t,direct,USA,USA,1
2016,32,6124.346140489633,t,direct,USA,USA,1
2016,33,6241.352467889698,t,direct,USA,USA,1
2016,34,6595.3705119456645,t,direct,USA,USA,1
2016,35,6786.378528050242,t,direct,USA,USA,1
2016,36,7025.389434865869,t,direct,USA,USA,1
2016,37,7001.38856250101,t,direct,USA,USA,1
2016,38,7173.393958256223,t,direct,USA,USA,1
2016,39,7292.400779863736,t,direct,USA,USA,1
2016,40,7336.399995031257,t,direct,USA,USA,1
2016,41,7790.426547654508,t,direct,USA,USA,1
2016,42,8088.4364838086385,t,direct,USA,USA,1
2016,43,9203.49946443961,t,direct,USA,USA,1
2016,44,10098.546334317998,t,direct,USA,USA,1
2016,45,11486.61597797995,t,direct,USA,USA,1
2016,46,12359.66416891462,t,direct,USA,USA,1
2016,47,12731.68713503677,t,direct,USA,USA,1
2016,48,13766.740858784862,t,direct,USA,USA,1
2016,49,15243.815364233105,t,direct,USA,USA,1
2016,50,17000.912152522433,t,direct,USA,USA,1
2016,51,19218.028638055264,t,direct,USA,USA,1
