"","Country","iso3","WHO_region","Cluster","Yhat","Female","Male"
"182","Ukraine","UKR","EURO",4,617038.303243834,310722.043156188,306316.260087647
"183","Uruguay","URY","AMRO",7,32665.8301941872,16503.2373481517,16162.5928460355
"184","United States of America","USA","AMRO",2,3394484.61499422,1621451.12728264,1773033.48771158
"185","Uzbekistan","UZB","EURO",3,175574.145533041,81390.5008813832,94183.644651658
"186","Saint Vincent and the Grenadines","VCT","AMRO",6,972.141676847821,423.559729468346,548.581947379475
"187","Venezuela (Bolivarian Republic of)","VEN","AMRO",6,198042.207439438,79990.4880812637,118051.719358174
"188","Viet Nam","VNM","WPRO",6,747412.918667864,324827.218153491,422585.700514373
"189","Vanuatu","VUT","WPRO",6,2263.56793569844,885.312058902427,1378.25587679602
"190","Samoa","WSM","WPRO",6,1241.78651234163,590.073952889504,651.71255945213
"191","Yemen","YEM","EMRO",3,189150.777642644,84999.7873718897,104150.990270754
"192","South Africa","ZAF","AFRO",3,591211.193843862,289984.077814155,301227.116029708
"193","Zambia","ZMB","AFRO",3,130894.087990369,60156.4334913803,70737.6544989886
"194","Zimbabwe","ZWE","AFRO",3,122987.878508351,60454.1941072343,62533.6844011165
