Country,iso3,sex,age,Nx,deaths
Canada,CAN,Female,25,1343606,581.321908568574
Canada,CAN,Female,30,1310409,751.088483637272
Canada,CAN,Female,35,1330404,962.010592055958
Canada,CAN,Female,40,1239077,1214.08823382463
Canada,CAN,Female,45,1193687,1738.82128403697
Canada,CAN,Female,50,1207497,2767.70961778666
Canada,CAN,Female,55,1378179,5020.97506869847
Canada,CAN,Female,60,1287326,7294.81828628529
Canada,CAN,Female,65,1102782,9512.07264551587
Canada,CAN,Female,70,925427,12840.5264051961
Canada,CAN,Female,75,657537,15309.8584061954
Canada,CAN,Female,80,458654,19193.9118661004
Canada,CAN,Female,85,542118,71518.0280789408
Canada,CAN,Male,0,1020925,936.288383712216
Canada,CAN,Male,5,1011765,77.1666250312266
Canada,CAN,Male,10,1014230,118.322158381214
Canada,CAN,Male,15,1017281,437.277541843617
Canada,CAN,Male,20,1208233,1013.45500874344
Canada,CAN,Male,25,1389541,1512.46585061204
Canada,CAN,Male,30,1315956,1692.52130901824
Canada,CAN,Male,35,1321892,1857.14344241819
Canada,CAN,Male,40,1224232,2232.68768423682
Canada,CAN,Male,45,1189671,2932.33175118661
Canada,CAN,Male,50,1215983,4429.36427679241
Canada,CAN,Male,55,1380774,7886.42907819136
Canada,CAN,Male,60,1275239,11235.4606045466
Canada,CAN,Male,65,1047397,14383.8589058206
Canada,CAN,Male,70,867426,17923.2347739196
Canada,CAN,Male,75,568286,19662.0560579565
Canada,CAN,Male,80,355943,21719.8327254559
Canada,CAN,Male,85,307404,48512.0849362978
Switzerland,CHE,Female,0,220549,151.855458832064
Switzerland,CHE,Female,5,210680,13.8050417120058
Switzerland,CHE,Female,10,199672,15.7771905280066
Switzerland,CHE,Female,15,208407,26.6240090160112
Switzerland,CHE,Female,20,237940,42.4011995440178
Switzerland,CHE,Female,25,274083,40.429050728017
Switzerland,CHE,Female,30,295996,63.1087621120265
Switzerland,CHE,Female,35,309618,118.32892896005
Switzerland,CHE,Female,40,283607,159.744054096067
Switzerland,CHE,Female,45,296216,282.017280688118
Switzerland,CHE,Female,50,334883,462.468897352194
Switzerland,CHE,Female,55,319584,746.458326856313
Switzerland,CHE,Female,60,265426,1039.32242603244
Switzerland,CHE,Female,65,225857,1430.7939660086
Switzerland,CHE,Female,70,219576,2405.03548111301
Switzerland,CHE,Female,75,178531,3633.68419348153
Switzerland,CHE,Female,80,130571,5244.92977615421
Switzerland,CHE,Female,85,149774,22691.5442769055
Switzerland,CHE,Male,0,231280,201.159179232085
Switzerland,CHE,Male,5,222436,14.7911161200062
Switzerland,CHE,Male,10,209997,20.7075625680087
Switzerland,CHE,Male,15,216791,61.1366132960257
Switzerland,CHE,Male,20,246246,117.342854552049
Switzerland,CHE,Male,25,281460,130.161821856055
Switzerland,CHE,Male,30,301576,138.050417120058
Switzerland,CHE,Male,35,312034,199.187030416084
Switzerland,CHE,Male,40,287248,235.671783512099
Switzerland,CHE,Male,45,299517,441.761334784186
Switzerland,CHE,Male,50,341873,839.149321208353
Switzerland,CHE,Male,55,324282,1295.70177211254
Switzerland,CHE,Male,60,270397,1859.73633348878
Switzerland,CHE,Male,65,215755,2464.19994559304
Switzerland,CHE,Male,70,201943,3757.92956888958
Switzerland,CHE,Male,75,151943,5014.18836468211
Switzerland,CHE,Male,80,98229,6128.45244572258
Switzerland,CHE,Male,85,80641,14633.3442147262
Chile,CHL,Female,0,570363,545.152111324376
Chile,CHL,Female,5,621865,50.6425458607344
Chile,CHL,Female,10,614053,73.4813410528303
Chile,CHL,Female,15,611781,158.878575249363
Chile,CHL,Female,20,690833,231.36692520688501
Chile,CHL,Female,25,783760,289.953399830087
Chile,CHL,Female,30,760568,389.252509360939
Chile,CHL,Female,35,692548,476.635725748088
Chile,CHL,Female,40,661077,736.79939271892
Chile,CHL,Female,45,632832,1091.29721374406
Chile,CHL,Female,50,619294,1625.52642302004
Chile,CHL,Female,55,587199,2563.90300808659
Chile,CHL,Female,60,514838,3568.80999653881
Chile,CHL,Female,65,432902,4442.64216041031
Chile,CHL,Female,70,317940,5610.39968849313
Chile,CHL,Female,75,235874,6965.83253358925
Chile,CHL,Female,80,166728,8319.27939649476
Chile,CHL,Female,85,176085,21249.016448507
Chile,CHL,Male,0,591860,736.79939271892
Chile,CHL,Male,5,643991,80.43227871999
Chile,CHL,Male,10,635584,89.3691985777666
Chile,CHL,Male,15,632461,330.666034737736
Chile,CHL,Male,20,712076,668.283007142633
Chile,CHL,Male,25,808869,865.888235109028
Chile,CHL,Male,30,785253,1010.86493502407
Chile,CHL,Male,35,707035,1145.91172398603
Chile,CHL,Male,40,663019,1365.36275604921
Chile,CHL,Male,45,621476,2050.52661181209
Chile,CHL,Male,50,595301,3048.48266259715
Chile,CHL,Male,55,550477,4435.69122274315
Chile,CHL,Male,60,467461,5859.64045341556
Chile,CHL,Male,65,376586,6942.00074730185
Chile,CHL,Male,70,263359,8149.477919197
Chile,CHL,Male,75,175953,8893.22824958309
Chile,CHL,Male,80,107532,8673.7772175199
Chile,CHL,Male,85,87376,13497.7279585287
Costa Rica,CRI,Female,0,169903,237.034906096059
Costa Rica,CRI,Female,5,174632,20.1731834975369
Costa Rica,CRI,Female,10,173617,27.2337977216749
Costa Rica,CRI,Female,15,177679,50.4329587438424
Costa Rica,CRI,Female,20,196168,84.7273706896552
Costa Rica,CRI,Female,25,208623,115.995805110837
Costa Rica,CRI,Female,30,212671,135.160329433498
Costa Rica,CRI,Female,35,196071,196.688539100985
Costa Rica,CRI,Female,40,174005,253.173452894089
Costa Rica,CRI,Female,45,153100,315.710321736453
Costa Rica,CRI,Female,50,155306,413.550261699507
Costa Rica,CRI,Female,55,151756,584.013662253694
Costa Rica,CRI,Female,60,125401,812.979294950739
Costa Rica,CRI,Female,65,92722,921.914485837439
Costa Rica,CRI,Female,70,72696,983.442695504927
Costa Rica,CRI,Female,75,49691,1171.05330203202
Costa Rica,CRI,Female,80,33405,1440.36530172414
Costa Rica,CRI,Female,85,31592,3370.93896243842
Costa Rica,CRI,Male,0,178099,291.502501539409
Costa Rica,CRI,Male,5,182964,34.2944119458128
Costa Rica,CRI,Male,10,181789,44.3810036945813
Costa Rica,CRI,Male,15,185752,144.238262007389
Costa Rica,CRI,Male,20,204063,285.450546490148
Costa Rica,CRI,Male,25,215602,333.866186884236
Costa Rica,CRI,Male,30,217910,350.004733682266
Costa Rica,CRI,Male,35,199003,391.359759852217
Costa Rica,CRI,Male,40,174231,413.550261699507
