Country,iso3,sex,age,Nx,Dxhat_WM,Dxhat_spinoff,Dx_observed
Austria,AUT,Female,15,218866,27.8026615952218,34.766433459035234,42.4946315249091
Austria,AUT,Female,20,245500,48.2796022357811,44.272108281176614,34.5886535667865
Austria,AUT,Female,25,294550,75.6160872852059,63.67123700310454,69.1773071335729
Austria,AUT,Female,30,304547,98.1709153384993,84.87202250187975,101.789466210829
Austria,AUT,Female,35,308423,132.399688054669,135.47404198446773,152.19007569386
Austria,AUT,Female,40,281246,204.96451756135,214.83867986232286,206.543674155953
Austria,AUT,Female,45,307276,401.818738880438,370.5410587906117,356.757255360283
Austria,AUT,Female,50,356193,692.106896083836,693.9179625500593,634.45473113934
Austria,AUT,Female,55,346719,1047.11744262088,1140.5517767378244,1081.14248577327
Austria,AUT,Female,60,297693,1507.09432057993,1551.4726292399712,1538.70096009961
Austria,AUT,Female,65,237002,2115.88904659728,2088.653695752693,2018.0008738108
Austria,AUT,Female,70,219951,3350.98374582637,3058.4049776293805,3134.72026039562
Austria,AUT,Female,75,214616,5022.56972858147,4857.975171547026,5203.12174368945
Austria,AUT,Female,80,153112,6674.3312275457,6861.758720011509,7038.29687721866
Austria,AUT,Female,85,152150,23805.6835138177,8854.548682723262,24167.5863707361
Austria,AUT,Male,0,230364,164.366101562466,163.67295096570572,160.096053651983
Austria,AUT,Male,5,219996,17.1693669208164,15.364558264831436,16.8002031610106
Austria,AUT,Male,10,218795,21.8077925323816,18.01036575476099,25.6944283638985
Austria,AUT,Male,15,233504,88.1841344423775,81.19193555171083,74.1185433573996
Austria,AUT,Male,20,263261,132.701979866468,139.44985875263507,124.519152840431
Austria,AUT,Male,25,312066,166.007678855191,148.87226595606143,132.425130798554
Austria,AUT,Male,30,315827,228.669507568033,197.1447741855799,216.426146603607
Austria,AUT,Male,35,314619,268.368359570657,260.0692576033976,241.13232772274
Austria,AUT,Male,40,284438,361.540597919211,350.8781033335071,404.193123109019
