Country,Year,Sex,Age,Deaths,Code,Source
Colombia,2016,t,0,7202,COL,country_public
Colombia,2016,t,1,1612,COL,country_public
Colombia,2016,t,5,870,COL,country_public
Colombia,2016,t,10,1076,COL,country_public
Colombia,2016,t,15,3810,COL,country_public
Colombia,2016,t,20,5498,COL,country_public
Colombia,2016,t,25,5325,COL,country_public
Colombia,2016,t,30,5293,COL,country_public
Colombia,2016,t,35,5140,COL,country_public
Colombia,2016,t,40,5409,COL,country_public
Colombia,2016,t,45,6906,COL,country_public
Colombia,2016,t,50,9235,COL,country_public
Colombia,2016,t,55,12213,COL,country_public
Colombia,2016,t,60,15064,COL,country_public
Colombia,2016,t,65,17496,COL,country_public
Colombia,2016,t,70,20312,COL,country_public
Colombia,2016,t,75,24950,COL,country_public
Colombia,2016,t,80,27195,COL,country_public
Colombia,2016,t,85,25402,COL,country_public
Colombia,2016,t,90,14897,COL,country_public
Colombia,2016,t,95,5947,COL,country_public
Colombia,2016,t,100,1397,COL,country_public
Colombia,2016,t,TOT,222475,COL,country_public
Colombia,2017,f,0,3036,COL,country_public
Colombia,2017,f,1,629,COL,country_public
Colombia,2017,f,5,357,COL,country_public
Colombia,2017,f,10,464,COL,country_public
Colombia,2017,f,15,835,COL,country_public
Colombia,2017,f,20,1072,COL,country_public
Colombia,2017,f,25,1202,COL,country_public
Colombia,2017,f,30,1347,COL,country_public
Colombia,2017,f,35,1685,COL,country_public
Colombia,2017,f,40,1959,COL,country_public
Colombia,2017,f,45,2729,COL,country_public
Colombia,2017,f,50,3785,COL,country_public
Colombia,2017,f,55,5055,COL,country_public
Colombia,2017,f,60,6403,COL,country_public
Colombia,2017,f,65,7585,COL,country_public
Colombia,2017,f,70,8985,COL,country_public
Colombia,2017,f,75,11826,COL,country_public
Colombia,2017,f,80,14133,COL,country_public
Colombia,2017,f,85,14220,COL,country_public
Colombia,2017,f,90,9518,COL,country_public
Colombia,2017,f,95,4122,COL,country_public
Colombia,2017,f,100,1000,COL,country_public
Colombia,2017,f,TOT,101952,COL,country_public
Colombia,2017,m,0,3971,COL,country_public
Colombia,2017,m,1,863,COL,country_public
Colombia,2017,m,5,502,COL,country_public
Colombia,2017,m,10,637,COL,country_public
Colombia,2017,m,15,2905,COL,country_public
Colombia,2017,m,20,4559,COL,country_public
Colombia,2017,m,25,4314,COL,country_public
Colombia,2017,m,30,3857,COL,country_public
Colombia,2017,m,35,3529,COL,country_public
Colombia,2017,m,40,3324,COL,country_public
Colombia,2017,m,45,4058,COL,country_public
Colombia,2017,m,50,5391,COL,country_public
Colombia,2017,m,55,6953,COL,country_public
Colombia,2017,m,60,8817,COL,country_public
Colombia,2017,m,65,10270,COL,country_public
Colombia,2017,m,70,11552,COL,country_public
Colombia,2017,m,75,13853,COL,country_public
Colombia,2017,m,80,13951,COL,country_public
Colombia,2017,m,85,12064,COL,country_public
Colombia,2017,m,90,6850,COL,country_public
Colombia,2017,m,95,2420,COL,country_public
Colombia,2017,m,100,541,COL,country_public
Colombia,2017,m,TOT,125196,COL,country_public
Colombia,2017,t,0,7023,COL,country_public
Colombia,2017,t,1,1492,COL,country_public
Colombia,2017,t,5,861,COL,country_public
Colombia,2017,t,10,1101,COL,country_public
Colombia,2017,t,15,3744,COL,country_public
