"Country" "iso3" "sex" "age" "Nx" "deaths" "cluster" "lmx" "lmx.hat" "lmx.hatU" "lmx.hatL"
"53" "Andorra" "AND" "Female" 80 826 17.9144893111639 2 -3.83098492938506 -3.75136152095721 -3.50572484470651 -3.9969981972079
"54" "Andorra" "AND" "Female" 85 1143 80.6152019002376 2 -2.65172442288261 -2.67183853450362 -2.48701779204148 -2.85665927696575
"55" "Andorra" "AND" "Male" 0 1487 0.995249406175772 2 -7.3092778602204 -7.69800309587816 -6.45473529635274 -8.94127089540357
"56" "Andorra" "AND" "Male" 5 1614 1.99049881235154 2 -6.69808558203019 -8.05368423268415 -7.19253848034197 -8.91482998502633
"57" "Andorra" "AND" "Male" 10 2078 0.002078 2 -13.8155105579643 -8.26174910000204 -7.39534513412496 -9.12815306587912
"58" "Andorra" "AND" "Male" 15 2067 0.995249406175772 2 -7.63861547344201 -8.25118631844371 -7.40320789660092 -9.0991647402865
"59" "Andorra" "AND" "Male" 20 2070 0.995249406175772 2 -7.64006580001966 -8.05128979865555 -7.26088830945464 -8.84169128785647
"60" "Andorra" "AND" "Male" 25 1912 0.001912 2 -13.8155105579643 -7.73424499130106 -7.05115295216443 -8.41733703043768
"61" "Andorra" "AND" "Male" 30 2108 0.002108 2 -13.8155105579643 -7.36544054959599 -6.79202740750941 -7.93885369168257
"62" "Andorra" "AND" "Male" 35 2848 2.98574821852732 2 -6.860521897624 -7.00375007491692 -6.52353718897889 -7.48396296085495
"63" "Andorra" "AND" "Male" 40 3493 6.9667458432304 2 -6.21736800951176 -6.66099201588439 -6.29753365401933 -7.02445037774945
"64" "Andorra" "AND" "Male" 45 3812 3.98099762470309 2 -6.86437681741445 -6.29383299525441 -5.96256585886842 -6.62510013164039
"65" "Andorra" "AND" "Male" 50 3584 10.9477434679335 2 -5.79110141505669 -5.86978641579872 -5.61440649598688 -6.12516633561057
"66" "Andorra" "AND" "Male" 55 3348 14.9287410926366 2 -5.4128301442674 -5.38359242080482 -5.13717608730796 -5.63000875430169
"67" "Andorra" "AND" "Male" 60 2662 22.8907363420428 2 -4.75610069678615 -4.8511407518754 -4.65071029944062 -5.05157120431017
"68" "Andorra" "AND" "Male" 65 1989 32.8432304038005 2 -4.10364163114773 -4.34812840636276 -4.14575333814332 -4.5505034745822
