Country,iso3,sex,age,Nx,Dxhat_WM,Dx_expected,Dx_observed,GHE_2019,Dxhat_spinoff
United Arab Emirates,ARE,Male,60,143690,1945.85274911873,1881.4211845144,NA,NA,2600.5136900688744
United Arab Emirates,ARE,Male,65,36818,821.377798879053,783.487301544565,NA,NA,906.3640191778602
United Arab Emirates,ARE,Male,70,24189,1023.78434404446,990.664480610712,NA,NA,1313.7348055852722
United Arab Emirates,ARE,Male,75,14618,927.003158125674,889.705043096244,NA,NA,1468.6906154169585
United Arab Emirates,ARE,Male,80,4405,440.193573158877,413.302697324851,NA,NA,770.1818268083737
United Arab Emirates,ARE,Male,85,3055,686.983686170242,639.409770924961,NA,NA,1286.3033740775938
Argentina,ARG,Female,0,1833225,2227.82371499944,2926.67488341097,NA,NA,3275.925962698202
Argentina,ARG,Female,5,1820688,203.580691410107,260.534856089998,NA,NA,245.8721212470943
Argentina,ARG,Female,10,1766041,255.775524289083,297.202724724886,NA,NA,308.5392325884552
Argentina,ARG,Female,15,1739689,639.664535357247,688.005008859882,NA,NA,585.276577617947
Argentina,ARG,Female,20,1714597,885.029947356355,907.047276757769,NA,NA,657.030819988618
Argentina,ARG,Female,25,1745039,976.200653524666,969.768631001657,NA,NA,796.4469111226402
Argentina,ARG,Female,30,1660236,1226.16433801064,1187.8459549881,NA,NA,1088.9128239283307
Argentina,ARG,Female,35,1572135,1805.39590830408,1706.02083543376,NA,NA,1494.6667183692966
Argentina,ARG,Female,40,1571745,2515.95876690154,2305.25100444075,NA,NA,2324.981617053398
Argentina,ARG,Female,45,1359574,3441.74860842548,3056.94231145597,NA,NA,3421.368481476251
Argentina,ARG,Female,50,1198262,4645.61498630277,4006.44712031729,NA,NA,4745.584824611848
Argentina,ARG,Female,55,1119816,7151.93140624274,6027.03967088194,NA,NA,7031.05618425973
Argentina,ARG,Female,60,1006668,10535.9991071628,8740.46194986369,NA,NA,9521.542070579511
Argentina,ARG,Female,65,899258,14121.7986168379,11753.9817853047,NA,NA,12848.327168186685
Argentina,ARG,Female,70,758347,18582.7146906249,15808.6761011942,NA,NA,16624.42431749009
Argentina,ARG,Female,75,577676,21550.1777521804,18623.4174908776,NA,NA,21105.10785828581
Argentina,ARG,Female,80,406456,27538.1343687268,23917.0997890618,NA,NA,27053.7414274181
Argentina,ARG,Female,85,397179,68171.1816801433,61638.6871752476,NA,NA,66011.69953277812
Argentina,ARG,Male,0,1903426,2930.29843560785,3795.12440371096,NA,NA,3895.970964535589
Argentina,ARG,Male,5,1889129,245.203643686483,311.676883396552,NA,NA,290.46703977667204
Argentina,ARG,Male,10,1831221,354.617243578532,417.82071365544,NA,NA,382.25474695103264
Argentina,ARG,Male,15,1799760,1390.74567453893,1551.62980960265,NA,NA,1555.3928551712565
Argentina,ARG,Male,20,1762738,2187.10960231557,2366.04247086175,NA,NA,2327.4282607668947
Argentina,ARG,Male,25,1775210,2171.12695311828,2278.23257492031,NA,NA,2321.4630175664397
Argentina,ARG,Male,30,1658744,2266.55219313388,2282.09235056609,NA,NA,2342.637677326126
Argentina,ARG,Male,35,1550297,2926.64041868744,2840.79487529241,NA,NA,2648.3811739767234
Argentina,ARG,Male,40,1518156,3722.69695982862,3509.50100592341,NA,NA,3642.7324622433243
Argentina,ARG,Male,45,1278269,5032.44488100524,4638.4853823134,NA,NA,4899.7365324995235
Argentina,ARG,Male,50,1103469,7207.84773640585,6507.58173878126,NA,NA,7570.914812929298
Argentina,ARG,Male,55,1003393,11187.3538705177,9897.42969968557,NA,NA,12273.633626969704
Argentina,ARG,Male,60,877065,16068.0008848303,14003.2660428816,NA,NA,16850.132020643174
Argentina,ARG,Male,65,745751,21671.4989380911,18691.9285085902,NA,NA,22646.063274095148
Argentina,ARG,Male,70,578876,26235.1548993406,22587.4070790913,NA,NA,26182.991773791953
Argentina,ARG,Male,75,385738,25902.3581045071,22251.6065979087,NA,NA,27043.944205919506
Argentina,ARG,Male,80,228228,25330.3832823201,21817.3818377587,NA,NA,26291.301625915305
Argentina,ARG,Male,85,159676,35903.6814858513,32114.2983167822,NA,NA,36902.659783387324
Armenia,ARM,Female,0,97104,152.105454781932,206.874251442194,133.624452648751,NA,160.24095240055783
Armenia,ARM,Female,5,100229,14.3192584752377,17.9890653427994,10.1230645946023,NA,12.774085150310654
Armenia,ARM,Female,10,92565,11.569457606922,12.9921027475774,12.1476775135228,NA,10.983554663930699
Armenia,ARM,Female,15,79246,12.483762882515,12.9921027475774,13.159983972983,NA,18.6848481392342
Armenia,ARM,Female,20,83570,20.7483765404848,19.9878503808883,24.2953550270456,NA,28.1247857189713
Armenia,ARM,Female,25,121179,39.0060332023935,34.9787381665545,33.4061131621877,NA,51.69662657229568
Armenia,ARM,Female,30,140965,71.678217067627,59.9635511426648,50.6153229730117,NA,85.09580299185008
Armenia,ARM,Female,35,128446,119.435075533712,93.9428967901749,77.9475973784379,NA,123.32994787363695
Armenia,ARM,Female,40,103854,172.242687612515,127.922242437685,129.57522681091,NA,172.47289817608348
Armenia,ARM,Female,45,89222,243.645692689719,172.894905794684,181.202856243382,NA,267.1801666844012
Armenia,ARM,Female,50,92854,404.219233944797,272.834157699125,321.913454108354,NA,480.11202617370395
